product_id,product_name,category,brand,unit_price,unit_cost,launch_year,warranty_months,weight_kg,product_sku,subcategory,model_family,colour,supplier_id,supplier_country,launch_date,tax_category,package_type,recyclable_packaging,active_flag,product_description_clean
PRD0014,Vela Ridge 113,Home Entertainment,Vela,953.24,574.14,2016,24,8.318,SKU-VEL00014,Smart Display,Ridge,Silver,SUP014,Japan,2016-12-24,GST_STANDARD,Recycled box,True,True,"smart display designed for music and spoken-content playback, in the ridge family and supplied by vela with a 24-month warranty."
PRD0015,Candle Arc 114,Audio,Candle,828.91,624.12,2015,12,0.445,SKU-CAN00015,Wireless Audio,Shift,Black,SUP015,Vietnam,2015-02-22,GST_STANDARD,Protective case,True,True,"wireless audio designed for music during focused desk work, in the shift family and supplied by candle with a 12-month warranty."
PRD0016,Vela Echo 115,Smart Home,Vela,255.89,180.18,2014,12,0.364,SKU-VEL00016,Home Automation,Spark,Blue,SUP016,Australia,2014-10-06,GST_STANDARD,Recycled box,True,True,"home automation designed for scheduled control of a household power outlet, in the spark family and supplied by vela with a 12-month warranty."
PRD0017,Candle Orbit 116,Gaming,Candle,1611.29,798.7,2015,24,1.468,SKU-CAN00017,Gaming Hardware,Vista,Red,SUP017,China,2015-08-15,GST_STANDARD,Recycled box,False,True,"gaming hardware designed for casual games in a shared room, in the vista family and supplied by candle with a 24-month warranty."
PRD0018,Vela Spark 117,Wearable,Vela,953.09,477.67,2015,12,0.096,SKU-VEL00018,Health Wearable,Wave,Green,SUP018,China,2015-04-20,GST_STANDARD,Protective case,True,True,"health wearable designed for walking and commute notifications, in the wave family and supplied by vela with a 12-month warranty."
PRD0019,Candle Bloom 118,Networking,Candle,1020.41,652.9,2016,24,0.523,SKU-CAN00019,Connected Network,Arc,Graphite,SUP019,Malaysia,2016-09-04,GST_STANDARD,Protective case,True,True,"connected network designed for connecting several shared household devices, in the arc family and supplied by candle with a 24-month warranty."
PRD0020,Vela Halo 119,Accessory,Vela,254.09,127.33,2014,12,0.158,SKU-VEL00020,Mobile Accessory,Atlas,Green,SUP020,Australia,2014-02-10,GST_STANDARD,Protective case,True,True,"mobile accessory designed for protective storage during travel, in the atlas family and supplied by vela with a 12-month warranty."
PRD0021,Candle Quest 120,Laptop,Candle,1229.32,657.54,2017,24,1.422,SKU-CAN00021,Ultrabook,Bloom,Gold,SUP021,Vietnam,2017-12-09,GST_STANDARD,Recycled box,True,True,"ultrabook designed for creative projects and media editing, in the bloom family and supplied by candle with a 24-month warranty."
PRD0022,Vela Wave 121,Smartphone,Vela,1385.01,882.44,2012,24,0.291,SKU-VEL00022,5G Smartphone,Core,Red,SUP022,Korea,2012-10-05,GST_STANDARD,Box,True,True,"5g smartphone designed for work calls and calendar management, in the core family and supplied by vela with a 24-month warranty."
PRD0023,Candle Edge 122,Tablet,Candle,620.72,453.7,2017,24,0.845,SKU-CAN00023,Productivity Tablet,Edge,Silver,SUP023,Japan,2017-01-23,GST_STANDARD,Protective case,False,True,"productivity tablet designed for field forms and client presentations, in the edge family and supplied by candle with a 24-month warranty."
PRD0024,Vela Nova 123,Home Entertainment,Vela,3386.44,2530.89,2017,24,6.044,SKU-VEL00024,Smart Display,Echo,Red,SUP024,Korea,2017-05-22,GST_STANDARD,Box,False,True,"smart display designed for family media streaming, in the echo family and supplied by vela with a 24-month warranty."
PRD0025,Candle Shift 124,Audio,Candle,399.48,292.2,2013,12,0.501,SKU-CAN00025,Wireless Audio,Flux,Black,SUP025,Malaysia,2013-11-14,GST_STANDARD,Recycled box,False,True,"wireless audio designed for video calls and online classes, in the flux family and supplied by candle with a 12-month warranty."
PRD0026,Vela Atlas 125,Smart Home,Vela,841.05,613.06,2014,12,0.292,SKU-VEL00026,Home Automation,Halo,Green,SUP026,Australia,2014-03-12,GST_STANDARD,Box,True,True,"home automation designed for indoor temperature and humidity monitoring, in the halo family and supplied by vela with a 12-month warranty."
PRD0027,Candle Flux 126,Gaming,Candle,615.88,334.58,2013,24,1.008,SKU-CAN00027,Gaming Hardware,Lumen,Black,SUP027,Japan,2013-11-02,GST_STANDARD,Box,True,True,"gaming hardware designed for competitive play and voice communication, in the lumen family and supplied by candle with a 24-month warranty."
PRD0028,Vela Pulse 127,Wearable,Vela,831.06,523.78,2015,12,0.112,SKU-VEL00028,Health Wearable,Nova,Black,SUP028,China,2015-05-13,GST_STANDARD,Recycled box,True,True,"health wearable designed for exercise session summaries, in the nova family and supplied by vela with a 12-month warranty."
PRD0029,Candle Vista 128,Networking,Candle,476.78,302.35,2015,24,0.507,SKU-CAN00029,Connected Network,Orbit,Graphite,SUP029,Korea,2015-05-20,GST_STANDARD,Recycled box,True,True,"connected network designed for video meetings and media streaming, in the orbit family and supplied by candle with a 24-month warranty."
PRD0030,Vela Core 129,Accessory,Vela,360.75,235.73,2012,12,0.166,SKU-VEL00030,Mobile Accessory,Pulse,Silver,SUP030,Korea,2012-07-14,GST_STANDARD,Protective case,False,True,"mobile accessory designed for charging-cable organisation, in the pulse family and supplied by vela with a 12-month warranty."
PRD0031,Candle Lumen 130,Laptop,Candle,2841.2,1701.93,2015,24,1.329,SKU-CAN00031,Ultrabook,Quest,Red,SUP031,Japan,2015-04-02,GST_STANDARD,Recycled box,True,True,"ultrabook designed for shared home-office administration, in the quest family and supplied by candle with a 24-month warranty."
PRD0032,Vela Ridge 131,Smartphone,Vela,581.78,389.5,2014,24,0.22,SKU-VEL00032,5G Smartphone,Ridge,Blue,SUP032,Vietnam,2014-07-14,GST_STANDARD,Recycled box,True,True,"5g smartphone designed for travel planning and media use, in the ridge family and supplied by vela with a 24-month warranty."
PRD0033,Candle Arc 132,Tablet,Candle,884.6,530.34,2012,24,0.55,SKU-CAN00033,Productivity Tablet,Shift,Gold,SUP033,China,2012-08-08,GST_STANDARD,Protective case,True,True,"productivity tablet designed for family learning and shared browsing, in the shift family and supplied by candle with a 24-month warranty."
PRD0034,Vela Echo 133,Home Entertainment,Vela,797.09,492.73,2016,24,5.719,SKU-VEL00034,Smart Display,Spark,Blue,SUP034,China,2016-08-07,GST_STANDARD,Box,True,True,"smart display designed for casual living-room gaming, in the spark family and supplied by vela with a 24-month warranty."
PRD0035,Candle Orbit 134,Audio,Candle,215.11,110.78,2013,12,0.353,SKU-CAN00035,Wireless Audio,Vista,Graphite,SUP035,Japan,2013-05-09,GST_STANDARD,Box,True,True,"wireless audio designed for shared-room music playback, in the vista family and supplied by candle with a 12-month warranty."
PRD0036,Vela Spark 135,Smart Home,Vela,120.39,60.54,2016,12,0.369,SKU-VEL00036,Home Automation,Wave,Silver,SUP036,Japan,2016-05-12,GST_STANDARD,Box,False,True,"home automation designed for door and window activity alerts, in the wave family and supplied by vela with a 12-month warranty."
PRD0037,Candle Bloom 136,Gaming,Candle,1207.21,705.79,2016,24,1.264,SKU-CAN00037,Gaming Hardware,Arc,White,SUP037,Australia,2016-05-15,GST_STANDARD,Box,True,True,"gaming hardware designed for portable gaming and travel, in the arc family and supplied by candle with a 24-month warranty."
PRD0038,Vela Halo 137,Wearable,Vela,758.26,420.38,2014,12,0.157,SKU-VEL00038,Health Wearable,Atlas,Gold,SUP001,Malaysia,2014-03-10,GST_STANDARD,Box,False,True,"health wearable designed for calendar alerts and quick message checks, in the atlas family and supplied by vela with a 12-month warranty."
PRD0039,Candle Quest 138,Networking,Candle,951.13,538.7,2016,24,0.778,SKU-CAN00039,Connected Network,Bloom,Black,SUP002,Korea,2016-09-10,GST_STANDARD,Box,False,True,"connected network designed for guest-network and device management, in the bloom family and supplied by candle with a 24-month warranty."
PRD0040,Vela Wave 139,Accessory,Vela,239.17,163.21,2013,12,0.241,SKU-VEL00040,Mobile Accessory,Core,Gold,SUP003,China,2013-08-25,GST_STANDARD,Recycled box,True,True,"mobile accessory designed for connecting several devices through one compact adapter, in the core family and supplied by vela with a 12-month warranty."
PRD0041,Candle Edge 140,Laptop,Candle,3199.1,1714.84,2016,24,1.861,SKU-CAN00041,Ultrabook,Edge,Graphite,SUP004,China,2016-04-15,GST_STANDARD,Box,False,True,"ultrabook designed for travel-based work and presentations, in the edge family and supplied by candle with a 24-month warranty."
PRD0042,Vela Nova 141,Smartphone,Vela,1502.85,945.19,2017,24,0.23,SKU-VEL00042,5G Smartphone,Echo,Black,SUP005,Malaysia,2017-03-02,GST_STANDARD,Box,True,True,"5g smartphone designed for family communication and casual apps, in the echo family and supplied by vela with a 24-month warranty."
PRD0043,Candle Shift 142,Tablet,Candle,1487.36,790.22,2012,24,0.571,SKU-CAN00043,Productivity Tablet,Flux,Gold,SUP006,Korea,2012-12-01,GST_STANDARD,Box,True,True,"productivity tablet designed for drawing and lightweight creative work, in the flux family and supplied by candle with a 24-month warranty."
PRD0044,Vela Atlas 143,Home Entertainment,Vela,2873.82,1623.37,2015,24,8.16,SKU-VEL00044,Smart Display,Halo,Silver,SUP007,Vietnam,2015-07-25,GST_STANDARD,Box,True,True,"smart display designed for presentations and photo viewing, in the halo family and supplied by vela with a 24-month warranty."
PRD0045,Candle Flux 144,Audio,Candle,124.62,91.39,2016,12,0.517,SKU-CAN00045,Wireless Audio,Lumen,Green,SUP008,Malaysia,2016-06-27,GST_STANDARD,Recycled box,True,True,"wireless audio designed for long listening sessions at home, in the lumen family and supplied by candle with a 12-month warranty."
PRD0046,Vela Pulse 145,Smart Home,Vela,355.51,261.34,2014,12,0.294,SKU-VEL00046,Home Automation,Nova,Green,SUP009,Australia,2014-01-21,GST_STANDARD,Recycled box,True,True,"home automation designed for automated blind and curtain routines, in the nova family and supplied by vela with a 12-month warranty."
PRD0047,Candle Vista 146,Gaming,Candle,425.59,273.09,2016,24,1.285,SKU-CAN00047,Gaming Hardware,Orbit,Silver,SUP010,Vietnam,2016-08-20,GST_STANDARD,Recycled box,True,True,"gaming hardware designed for game streaming and media capture, in the orbit family and supplied by candle with a 24-month warranty."
PRD0048,Vela Core 147,Wearable,Vela,176.51,116.71,2014,12,0.097,SKU-VEL00048,Health Wearable,Pulse,Green,SUP011,Vietnam,2014-04-25,GST_STANDARD,Recycled box,True,True,"health wearable designed for habit reminders and everyday timekeeping, in the pulse family and supplied by vela with a 12-month warranty."
PRD0049,Candle Lumen 148,Networking,Candle,917.1,492.04,2017,24,0.657,SKU-CAN00049,Connected Network,Quest,Green,SUP012,Vietnam,2017-04-16,GST_STANDARD,Recycled box,False,True,"connected network designed for extending coverage between rooms, in the quest family and supplied by candle with a 24-month warranty."
PRD0050,Vela Ridge 149,Accessory,Vela,56.24,29.35,2015,12,0.205,SKU-VEL00050,Mobile Accessory,Ridge,Graphite,SUP013,Japan,2015-07-12,GST_STANDARD,Box,True,True,"mobile accessory designed for hands-free device support in a shared workspace, in the ridge family and supplied by vela with a 12-month warranty."
PRD0051,Candle Arc 150,Laptop,Candle,2153.52,1037.13,2014,24,1.48,SKU-CAN00051,Ultrabook,Shift,Black,SUP014,Japan,2014-10-25,GST_STANDARD,Recycled box,True,True,"ultrabook designed for portable document work and video meetings, in the shift family and supplied by candle with a 24-month warranty."
PRD0052,Vela Echo 151,Smartphone,Vela,1050.73,722.96,2017,24,0.259,SKU-VEL00052,5G Smartphone,Spark,Silver,SUP015,Malaysia,2017-04-05,GST_STANDARD,Box,True,True,"5g smartphone designed for daily communication and navigation, in the spark family and supplied by vela with a 24-month warranty."
PRD0053,Candle Orbit 152,Tablet,Candle,884.08,547.65,2017,24,0.748,SKU-CAN00053,Productivity Tablet,Vista,Red,SUP016,Japan,2017-11-20,GST_STANDARD,Protective case,True,False,"productivity tablet designed for reading, annotation and handwritten notes, in the vista family and supplied by candle with a 24-month warranty."
PRD0054,Vela Spark 153,Home Entertainment,Vela,2814.02,1417.94,2016,24,5.637,SKU-VEL00054,Smart Display,Wave,White,SUP017,Japan,2016-06-27,GST_STANDARD,Recycled box,True,False,"smart display designed for shared film and television viewing, in the wave family and supplied by vela with a 24-month warranty."
PRD0055,Candle Bloom 154,Audio,Candle,534.13,364.26,2014,12,0.658,SKU-CAN00055,Wireless Audio,Arc,White,SUP018,Malaysia,2014-09-18,GST_STANDARD,Protective case,True,True,"wireless audio designed for commuting and spoken-content listening, in the arc family and supplied by candle with a 12-month warranty."
PRD0056,Vela Halo 155,Smart Home,Vela,485.36,311.19,2013,12,0.475,SKU-VEL00056,Home Automation,Atlas,Gold,SUP019,Vietnam,2013-12-13,GST_STANDARD,Recycled box,True,True,"home automation designed for app-controlled room lighting, in the atlas family and supplied by vela with a 12-month warranty."
PRD0057,Candle Quest 156,Gaming,Candle,768.67,504.03,2014,24,1.274,SKU-CAN00057,Gaming Hardware,Bloom,Blue,SUP020,Korea,2014-09-05,GST_STANDARD,Recycled box,True,True,"gaming hardware designed for long desktop gaming sessions, in the bloom family and supplied by candle with a 24-month warranty."
PRD0058,Vela Wave 157,Wearable,Vela,137.85,78.42,2014,12,0.151,SKU-VEL00058,Health Wearable,Core,White,SUP021,Malaysia,2014-12-15,GST_STANDARD,Recycled box,True,True,"health wearable designed for daily activity and sleep tracking, in the core family and supplied by vela with a 12-month warranty."
PRD0059,Candle Edge 158,Networking,Candle,748.03,488.6,2013,24,0.671,SKU-CAN00059,Connected Network,Edge,Green,SUP022,China,2013-10-07,GST_STANDARD,Recycled box,True,True,"connected network designed for home-office wireless coverage, in the edge family and supplied by candle with a 24-month warranty."
PRD0060,Vela Nova 159,Accessory,Vela,147.43,74.05,2014,12,0.197,SKU-VEL00060,Mobile Accessory,Echo,Red,SUP023,Malaysia,2014-10-17,GST_STANDARD,Recycled box,True,True,"mobile accessory designed for adjustable desk mounting and device positioning, in the echo family and supplied by vela with a 12-month warranty."
PRD0061,Candle Shift 160,Laptop,Candle,1070.18,765.0,2017,24,1.785,SKU-CAN00061,Ultrabook,Flux,Black,SUP024,Vietnam,2017-11-03,GST_STANDARD,Protective case,True,True,"ultrabook designed for study, research and note taking, in the flux family and supplied by candle with a 24-month warranty."
PRD0062,Vela Atlas 161,Smartphone,Vela,1491.83,990.24,2014,24,0.185,SKU-VEL00062,5G Smartphone,Halo,Red,SUP025,China,2014-02-14,GST_STANDARD,Recycled box,False,True,"5g smartphone designed for mobile photography and messaging, in the halo family and supplied by vela with a 24-month warranty."
PRD0063,Candle Flux 162,Tablet,Candle,1461.12,1000.93,2012,24,0.81,SKU-CAN00063,Productivity Tablet,Lumen,Blue,SUP026,Korea,2012-04-17,GST_STANDARD,Recycled box,False,True,"productivity tablet designed for portable media and video calls, in the lumen family and supplied by candle with a 24-month warranty."
PRD0064,Vela Pulse 163,Home Entertainment,Vela,1934.54,1329.84,2016,24,8.283,SKU-VEL00064,Smart Display,Nova,White,SUP027,Korea,2016-03-26,GST_STANDARD,Box,True,True,"smart display designed for music and spoken-content playback, in the nova family and supplied by vela with a 24-month warranty."
PRD0065,Candle Vista 164,Audio,Candle,515.94,267.8,2013,12,0.446,SKU-CAN00065,Wireless Audio,Orbit,Blue,SUP028,Australia,2013-01-07,GST_STANDARD,Protective case,True,True,"wireless audio designed for music during focused desk work, in the orbit family and supplied by candle with a 12-month warranty."
PRD0066,Vela Core 165,Smart Home,Vela,66.71,34.82,2015,12,0.274,SKU-VEL00066,Home Automation,Pulse,Black,SUP029,China,2015-05-11,GST_STANDARD,Box,False,True,"home automation designed for scheduled control of a household power outlet, in the pulse family and supplied by vela with a 12-month warranty."
PRD0067,Candle Lumen 166,Gaming,Candle,1666.09,870.41,2014,24,0.869,SKU-CAN00067,Gaming Hardware,Quest,Silver,SUP030,Vietnam,2014-11-26,GST_STANDARD,Protective case,True,True,"gaming hardware designed for casual games in a shared room, in the quest family and supplied by candle with a 24-month warranty."
PRD0068,Vela Ridge 167,Wearable,Vela,331.71,232.02,2012,12,0.164,SKU-VEL00068,Health Wearable,Ridge,Blue,SUP031,China,2012-05-22,GST_STANDARD,Box,False,True,"health wearable designed for walking and commute notifications, in the ridge family and supplied by vela with a 12-month warranty."
PRD0069,Candle Arc 168,Networking,Candle,1370.67,937.15,2017,24,0.652,SKU-CAN00069,Connected Network,Shift,Gold,SUP032,Malaysia,2017-03-14,GST_STANDARD,Recycled box,True,True,"connected network designed for connecting several shared household devices, in the shift family and supplied by candle with a 24-month warranty."
PRD0070,Vela Echo 169,Accessory,Vela,376.35,269.67,2013,12,0.231,SKU-VEL00070,Mobile Accessory,Spark,White,SUP033,China,2013-04-03,GST_STANDARD,Box,True,True,"mobile accessory designed for protective storage during travel, in the spark family and supplied by vela with a 12-month warranty."
PRD0071,Candle Orbit 170,Laptop,Candle,1342.48,723.89,2012,24,1.908,SKU-CAN00071,Ultrabook,Vista,White,SUP034,China,2012-09-10,GST_STANDARD,Box,False,False,"ultrabook designed for creative projects and media editing, in the vista family and supplied by candle with a 24-month warranty."
PRD0072,Vela Spark 171,Smartphone,Vela,713.12,519.01,2013,24,0.227,SKU-VEL00072,5G Smartphone,Wave,Graphite,SUP035,Australia,2013-03-24,GST_STANDARD,Recycled box,True,True,"5g smartphone designed for work calls and calendar management, in the wave family and supplied by vela with a 24-month warranty."
PRD0073,Candle Bloom 172,Tablet,Candle,1270.32,740.63,2017,24,0.562,SKU-CAN00073,Productivity Tablet,Arc,Silver,SUP036,Japan,2017-07-27,GST_STANDARD,Box,True,True,"productivity tablet designed for field forms and client presentations, in the arc family and supplied by candle with a 24-month warranty."
PRD0074,Vela Halo 173,Home Entertainment,Vela,587.22,440.18,2015,24,10.013,SKU-VEL00074,Smart Display,Atlas,White,SUP037,Korea,2015-08-13,GST_STANDARD,Protective case,True,True,"smart display designed for family media streaming, in the atlas family and supplied by vela with a 24-month warranty."
PRD0075,Candle Quest 174,Audio,Candle,649.4,320.41,2015,12,0.556,SKU-CAN00075,Wireless Audio,Bloom,Gold,SUP001,Malaysia,2015-12-08,GST_STANDARD,Protective case,True,True,"wireless audio designed for video calls and online classes, in the bloom family and supplied by candle with a 12-month warranty."
PRD0076,Vela Wave 175,Smart Home,Vela,729.89,509.24,2014,12,0.43,SKU-VEL00076,Home Automation,Core,Green,SUP002,Korea,2014-07-13,GST_STANDARD,Protective case,False,True,"home automation designed for indoor temperature and humidity monitoring, in the core family and supplied by vela with a 12-month warranty."
PRD0077,Candle Edge 176,Gaming,Candle,1748.69,839.83,2017,24,0.878,SKU-CAN00077,Gaming Hardware,Edge,Graphite,SUP003,China,2017-07-08,GST_STANDARD,Box,True,True,"gaming hardware designed for competitive play and voice communication, in the edge family and supplied by candle with a 24-month warranty."
PRD0078,Vela Nova 177,Wearable,Vela,1051.69,598.73,2015,12,0.154,SKU-VEL00078,Health Wearable,Echo,Gold,SUP004,Korea,2015-12-05,GST_STANDARD,Protective case,True,True,"health wearable designed for exercise session summaries, in the echo family and supplied by vela with a 12-month warranty."
PRD0079,Candle Shift 178,Networking,Candle,1319.99,805.63,2015,24,0.801,SKU-CAN00079,Connected Network,Flux,Silver,SUP005,Japan,2015-07-17,GST_STANDARD,Box,False,True,"connected network designed for video meetings and media streaming, in the flux family and supplied by candle with a 24-month warranty."
PRD0080,Vela Atlas 179,Accessory,Vela,15.23,9.37,2015,12,0.23,SKU-VEL00080,Mobile Accessory,Halo,Blue,SUP006,Malaysia,2015-07-25,GST_STANDARD,Box,True,True,"mobile accessory designed for charging-cable organisation, in the halo family and supplied by vela with a 12-month warranty."
PRD0081,Candle Flux 180,Laptop,Candle,1506.97,1109.15,2016,24,1.705,SKU-CAN00081,Ultrabook,Lumen,Black,SUP007,Korea,2016-06-22,GST_STANDARD,Box,False,True,"ultrabook designed for shared home-office administration, in the lumen family and supplied by candle with a 24-month warranty."
PRD0082,Vela Pulse 181,Smartphone,Vela,1853.06,1170.21,2017,24,0.179,SKU-VEL00082,5G Smartphone,Nova,Red,SUP008,China,2017-09-27,GST_STANDARD,Protective case,True,True,"5g smartphone designed for travel planning and media use, in the nova family and supplied by vela with a 24-month warranty."
PRD0083,Candle Vista 182,Tablet,Candle,1563.94,1152.23,2012,24,0.716,SKU-CAN00083,Productivity Tablet,Orbit,Green,SUP009,Malaysia,2012-05-27,GST_STANDARD,Recycled box,False,True,"productivity tablet designed for family learning and shared browsing, in the orbit family and supplied by candle with a 24-month warranty."
PRD0084,Vela Core 183,Home Entertainment,Vela,1560.4,1156.93,2014,24,7.89,SKU-VEL00084,Smart Display,Pulse,Silver,SUP010,Korea,2014-03-06,GST_STANDARD,Recycled box,True,False,"smart display designed for casual living-room gaming, in the pulse family and supplied by vela with a 24-month warranty."
PRD0085,Candle Lumen 184,Audio,Candle,477.42,248.55,2016,12,0.58,SKU-CAN00085,Wireless Audio,Quest,Green,SUP011,Korea,2016-08-13,GST_STANDARD,Box,True,True,"wireless audio designed for shared-room music playback, in the quest family and supplied by candle with a 12-month warranty."
PRD0086,Vela Ridge 185,Smart Home,Vela,747.25,525.48,2016,12,0.271,SKU-VEL00086,Home Automation,Ridge,Graphite,SUP012,Vietnam,2016-07-20,GST_STANDARD,Box,True,True,"home automation designed for door and window activity alerts, in the ridge family and supplied by vela with a 12-month warranty."
PRD0087,Candle Arc 186,Gaming,Candle,164.58,93.74,2013,24,1.086,SKU-CAN00087,Gaming Hardware,Shift,Silver,SUP013,Vietnam,2013-07-08,GST_STANDARD,Protective case,False,True,"gaming hardware designed for portable gaming and travel, in the shift family and supplied by candle with a 24-month warranty."
PRD0088,Vela Echo 187,Wearable,Vela,767.45,505.3,2012,12,0.13,SKU-VEL00088,Health Wearable,Spark,Green,SUP014,Korea,2012-06-03,GST_STANDARD,Box,True,True,"health wearable designed for calendar alerts and quick message checks, in the spark family and supplied by vela with a 12-month warranty."
PRD0089,Candle Orbit 188,Networking,Candle,1041.14,698.69,2013,24,0.907,SKU-CAN00089,Connected Network,Vista,Red,SUP015,China,2013-10-04,GST_STANDARD,Recycled box,True,True,"connected network designed for guest-network and device management, in the vista family and supplied by candle with a 24-month warranty."
PRD0090,Vela Spark 189,Accessory,Vela,223.82,132.72,2014,12,0.142,SKU-VEL00090,Mobile Accessory,Wave,Red,SUP016,Korea,2014-06-04,GST_STANDARD,Box,True,True,"mobile accessory designed for connecting several devices through one compact adapter, in the wave family and supplied by vela with a 12-month warranty."
PRD0091,Candle Bloom 190,Laptop,Candle,2959.54,1741.01,2012,24,1.984,SKU-CAN00091,Ultrabook,Arc,Silver,SUP017,Australia,2012-04-26,GST_STANDARD,Recycled box,True,True,"ultrabook designed for travel-based work and presentations, in the arc family and supplied by candle with a 24-month warranty."
PRD0092,Vela Halo 191,Smartphone,Vela,1139.05,823.19,2013,24,0.207,SKU-VEL00092,5G Smartphone,Atlas,Gold,SUP018,Japan,2013-08-03,GST_STANDARD,Box,True,True,"5g smartphone designed for family communication and casual apps, in the atlas family and supplied by vela with a 24-month warranty."
PRD0093,Candle Quest 192,Tablet,Candle,1233.02,899.89,2014,24,0.554,SKU-CAN00093,Productivity Tablet,Bloom,Black,SUP019,China,2014-11-23,GST_STANDARD,Recycled box,False,True,"productivity tablet designed for drawing and lightweight creative work, in the bloom family and supplied by candle with a 24-month warranty."
PRD0094,Vela Wave 193,Home Entertainment,Vela,627.77,421.95,2017,24,7.036,SKU-VEL00094,Smart Display,Core,Silver,SUP020,Vietnam,2017-05-02,GST_STANDARD,Box,True,True,"smart display designed for presentations and photo viewing, in the core family and supplied by vela with a 24-month warranty."
PRD0095,Candle Edge 194,Audio,Candle,697.69,446.75,2012,12,0.561,SKU-CAN00095,Wireless Audio,Edge,Black,SUP021,Korea,2012-12-16,GST_STANDARD,Protective case,True,True,"wireless audio designed for long listening sessions at home, in the edge family and supplied by candle with a 12-month warranty."
PRD0096,Vela Nova 195,Smart Home,Vela,327.95,233.61,2017,12,0.281,SKU-VEL00096,Home Automation,Echo,Gold,SUP022,Malaysia,2017-12-27,GST_STANDARD,Box,True,True,"home automation designed for automated blind and curtain routines, in the echo family and supplied by vela with a 12-month warranty."
