customer_id,signup_date,loyalty_tier,customer_segment,age_band,preferred_channel,home_suburb,prior_12m_orders,lifetime_value_before_period,marketing_consent,home_postcode,home_state,home_country,preferred_language,acquisition_source,account_status,preferred_device,email_domain,household_size_band,contact_frequency_preference
CUS00017,2017-01-17,Silver,Mainstream,18-24,Mobile,Brunswick,13,1535.7,False,3056,VIC,Australia,de,Social,Active,Tablet,inbox.example,3-4,Essential only
CUS00018,2015-03-06,Bronze,Premium,18-24,Mobile,Northcote,10,5110.05,True,3070,VIC,Australia,ar,Referral,Active,Mobile,inbox.example,2,Weekly
CUS00019,2014-03-23,Bronze,Value,25-34,Store,Richmond,1,1790.69,True,3121,VIC,Australia,ja,Organic,Review,Desktop,mail.test,5+,Quarterly
CUS00020,2014-01-16,Bronze,Mainstream,35-44,Store,Docklands,1,465.83,True,3008,VIC,Australia,nl,Referral,Active,Tablet,example.net,3-4,Essential only
CUS00021,2014-12-04,Gold,Value,45-54,Mobile,Hawthorn,2,1778.23,True,3122,VIC,Australia,it,Paid Search,Active,Desktop,inbox.example,5+,Quarterly
CUS00022,2015-12-24,Silver,Premium,55+,Mobile,Footscray,8,6830.37,True,3011,VIC,Australia,es,Referral,Active,Desktop,inbox.example,1,Essential only
CUS00023,2015-02-12,Silver,Value,45-54,Mobile,Docklands,4,3623.85,True,3008,VIC,Australia,zh,Paid Search,Active,Mobile,inbox.example,1,Essential only
CUS00024,2014-02-03,Gold,Small Business,25-34,Mobile,Melbourne,20,7626.72,True,3000,VIC,Australia,ru,Organic,Active,Desktop,mail.test,1,Quarterly
CUS00025,2013-01-09,Silver,Small Business,18-24,Web,Richmond,10,3276.83,True,3121,VIC,Australia,ja,Social,Active,Tablet,inbox.example,1,Essential only
CUS00026,2017-10-02,Bronze,Mainstream,25-34,Mobile,Carlton,13,1445.49,False,3053,VIC,Australia,it,Referral,Active,Tablet,inbox.example,3-4,Quarterly
CUS00027,2014-03-25,Silver,Mainstream,25-34,Store,Carlton,15,3856.29,True,3053,VIC,Australia,fr,Referral,Active,Tablet,example.net,5+,Quarterly
CUS00028,2015-09-09,Gold,Mainstream,18-24,Web,Hawthorn,6,2375.95,True,3122,VIC,Australia,ja,Social,Active,Mobile,inbox.example,3-4,Essential only
CUS00029,2016-07-19,Silver,Value,55+,Web,Footscray,13,6098.49,True,3011,VIC,Australia,fr,Social,Review,Mobile,mail.test,1,Monthly
CUS00030,2014-06-24,Silver,Premium,55+,Web,Brunswick,19,4003.83,False,3056,VIC,Australia,en,Organic,Active,Mobile,mail.test,5+,Monthly
CUS00031,2013-04-14,Silver,Premium,45-54,Web,St Kilda,12,10087.77,True,3182,VIC,Australia,nl,Paid Search,Active,Desktop,inbox.example,2,Weekly
CUS00032,2015-01-04,Bronze,Mainstream,25-34,Mobile,Footscray,2,725.48,False,3011,VIC,Australia,pl,Social,Active,Desktop,mail.test,5+,Monthly
CUS00033,2013-06-13,Bronze,Small Business,25-34,Store,Carlton,4,2278.71,True,3053,VIC,Australia,hi,Store,Active,Desktop,inbox.example,5+,Essential only
CUS00034,2014-12-15,Bronze,Small Business,25-34,Web,Footscray,18,16588.6,True,3011,VIC,Australia,en,Paid Search,Active,Tablet,example.net,2,Weekly
CUS00035,2016-10-05,Silver,Value,18-24,Mobile,St Kilda,21,5467.6,True,3182,VIC,Australia,pt,Paid Search,Active,Mobile,inbox.example,1,Essential only
CUS00036,2017-05-02,Gold,Mainstream,18-24,Store,Richmond,9,6960.27,True,3121,VIC,Australia,zh,Store,Dormant,Desktop,example.net,5+,Quarterly
CUS00037,2013-07-27,Silver,Premium,55+,Web,Docklands,2,2601.58,False,3008,VIC,Australia,ru,Social,Active,Mobile,mail.test,5+,Essential only
CUS00038,2017-10-01,Bronze,Premium,45-54,Mobile,Hawthorn,19,14146.32,True,3122,VIC,Australia,ru,Organic,Dormant,Desktop,example.net,3-4,Monthly
CUS00039,2013-04-10,Silver,Mainstream,55+,Mobile,Footscray,7,2171.03,False,3011,VIC,Australia,es,Store,Active,Desktop,mail.test,2,Essential only
CUS00040,2013-05-27,Silver,Mainstream,25-34,Store,Richmond,12,10870.18,True,3121,VIC,Australia,fr,Referral,Active,Desktop,mail.test,2,Essential only
CUS00041,2016-05-20,Silver,Small Business,55+,Store,Footscray,14,5925.74,True,3011,VIC,Australia,es,Paid Search,Active,Tablet,example.net,1,Quarterly
CUS00042,2013-09-17,Bronze,Premium,18-24,Mobile,Melbourne,0,427.08,True,3000,VIC,Australia,en,Store,Active,Tablet,example.net,2,Monthly
CUS00043,2017-04-22,Bronze,Mainstream,45-54,Store,Hawthorn,13,10121.37,True,3122,VIC,Australia,en,Paid Search,Active,Tablet,mail.test,5+,Essential only
CUS00044,2017-08-09,Bronze,Premium,45-54,Store,Footscray,11,3810.91,False,3011,VIC,Australia,de,Paid Search,Active,Desktop,inbox.example,2,Monthly
CUS00045,2014-11-06,Silver,Premium,45-54,Web,Brunswick,20,15717.83,True,3056,VIC,Australia,ja,Store,Active,Tablet,mail.test,2,Essential only
CUS00046,2015-02-02,Bronze,Value,18-24,Mobile,Richmond,1,724.61,False,3121,VIC,Australia,en,Referral,Active,Tablet,example.net,3-4,Weekly
CUS00047,2013-08-01,Silver,Mainstream,45-54,Web,Southbank,16,8144.91,False,3006,VIC,Australia,ru,Organic,Active,Tablet,mail.test,3-4,Essential only
CUS00048,2015-02-15,Silver,Mainstream,45-54,Web,Brunswick,5,3580.77,False,3056,VIC,Australia,pl,Referral,Dormant,Desktop,example.net,5+,Monthly
CUS00049,2016-01-17,Bronze,Small Business,35-44,Mobile,Hawthorn,3,590.85,True,3122,VIC,Australia,en,Referral,Active,Mobile,mail.test,1,Essential only
CUS00050,2014-01-21,Gold,Premium,18-24,Web,St Kilda,2,1233.67,False,3182,VIC,Australia,it,Referral,Active,Mobile,example.net,2,Weekly
CUS00051,2017-10-27,Silver,Premium,25-34,Store,Northcote,6,3599.99,True,3070,VIC,Australia,ar,Paid Search,Active,Desktop,inbox.example,5+,Quarterly
CUS00052,2017-04-16,Bronze,Premium,35-44,Store,St Kilda,11,6934.52,True,3182,VIC,Australia,nl,Organic,Active,Tablet,example.net,5+,Essential only
CUS00053,2013-01-04,Gold,Premium,35-44,Mobile,Brunswick,16,6007.91,True,3056,VIC,Australia,ru,Store,Dormant,Desktop,mail.test,3-4,Monthly
CUS00054,2013-12-07,Silver,Premium,55+,Mobile,St Kilda,6,3639.83,True,3182,VIC,Australia,de,Social,Active,Desktop,inbox.example,5+,Weekly
CUS00055,2016-12-07,Platinum,Small Business,18-24,Web,Hawthorn,20,5180.82,False,3122,VIC,Australia,pl,Organic,Active,Tablet,example.net,2,Essential only
CUS00056,2016-12-15,Gold,Value,35-44,Web,Richmond,4,3181.67,False,3121,VIC,Australia,zh,Paid Search,Active,Mobile,mail.test,3-4,Quarterly
CUS00057,2016-12-11,Platinum,Mainstream,18-24,Mobile,Northcote,14,4662.49,False,3070,VIC,Australia,es,Referral,Review,Tablet,example.net,2,Quarterly
CUS00058,2015-10-21,Bronze,Value,35-44,Mobile,St Kilda,4,659.26,True,3182,VIC,Australia,it,Organic,Active,Desktop,mail.test,3-4,Essential only
CUS00059,2014-04-21,Gold,Small Business,45-54,Store,St Kilda,7,6601.37,True,3182,VIC,Australia,hi,Paid Search,Active,Mobile,example.net,3-4,Quarterly
CUS00060,2015-07-25,Bronze,Premium,25-34,Web,Footscray,14,12141.55,True,3011,VIC,Australia,es,Referral,Active,Mobile,mail.test,1,Quarterly
CUS00061,2014-11-23,Bronze,Premium,55+,Web,Carlton,11,6955.19,True,3053,VIC,Australia,pl,Organic,Active,Tablet,inbox.example,2,Essential only
CUS00062,2017-10-24,Bronze,Mainstream,55+,Store,Docklands,13,6697.91,True,3008,VIC,Australia,pt,Organic,Active,Desktop,inbox.example,2,Weekly
CUS00063,2016-03-22,Bronze,Small Business,55+,Web,Hawthorn,1,665.62,True,3122,VIC,Australia,ar,Social,Active,Mobile,example.net,1,Essential only
CUS00064,2014-10-05,Silver,Mainstream,25-34,Store,Richmond,1,1442.75,False,3121,VIC,Australia,fr,Social,Active,Desktop,inbox.example,5+,Quarterly
CUS00065,2013-08-17,Bronze,Premium,55+,Web,Brunswick,16,15239.16,False,3056,VIC,Australia,fr,Referral,Active,Mobile,mail.test,1,Essential only
CUS00066,2014-06-16,Bronze,Premium,18-24,Store,Carlton,7,4811.52,True,3053,VIC,Australia,ar,Referral,Review,Mobile,inbox.example,2,Weekly
CUS00067,2013-05-07,Silver,Small Business,55+,Store,Brunswick,15,9382.64,True,3056,VIC,Australia,fr,Referral,Active,Tablet,mail.test,2,Quarterly
CUS00068,2017-09-27,Silver,Small Business,18-24,Store,Footscray,20,17097.01,False,3011,VIC,Australia,hi,Referral,Active,Desktop,example.net,3-4,Quarterly
CUS00069,2016-08-03,Gold,Small Business,35-44,Web,Melbourne,7,2362.49,False,3000,VIC,Australia,ar,Social,Active,Mobile,mail.test,3-4,Quarterly
CUS00070,2017-01-07,Silver,Premium,35-44,Mobile,Footscray,15,2046.34,True,3011,VIC,Australia,en,Organic,Active,Tablet,inbox.example,5+,Quarterly
CUS00071,2017-08-23,Silver,Premium,35-44,Store,St Kilda,21,2471.18,True,3182,VIC,Australia,it,Store,Active,Tablet,mail.test,3-4,Weekly
CUS00072,2017-04-22,Silver,Premium,25-34,Web,St Kilda,16,10593.53,False,3182,VIC,Australia,fr,Referral,Dormant,Tablet,inbox.example,2,Quarterly
CUS00073,2016-04-21,Bronze,Mainstream,25-34,Web,Footscray,2,2346.69,False,3011,VIC,Australia,hi,Referral,Active,Mobile,mail.test,2,Weekly
CUS00074,2014-02-05,Silver,Premium,45-54,Web,Footscray,9,8410.77,True,3011,VIC,Australia,zh,Paid Search,Active,Mobile,example.net,2,Quarterly
CUS00075,2014-09-01,Bronze,Mainstream,35-44,Web,Northcote,18,7351.5,True,3070,VIC,Australia,ru,Social,Active,Mobile,mail.test,2,Essential only
CUS00076,2017-11-11,Bronze,Small Business,35-44,Mobile,Docklands,21,2657.11,True,3008,VIC,Australia,de,Social,Active,Mobile,inbox.example,2,Essential only
CUS00077,2016-06-15,Gold,Value,55+,Store,Southbank,21,18929.87,False,3006,VIC,Australia,ar,Paid Search,Active,Mobile,mail.test,5+,Weekly
CUS00078,2013-08-11,Bronze,Premium,35-44,Mobile,Southbank,15,5559.81,True,3006,VIC,Australia,fr,Store,Active,Tablet,mail.test,5+,Monthly
CUS00079,2013-03-09,Silver,Small Business,35-44,Store,Hawthorn,4,1076.79,True,3122,VIC,Australia,ru,Social,Active,Mobile,mail.test,3-4,Quarterly
CUS00080,2013-07-14,Bronze,Mainstream,45-54,Store,Richmond,8,3475.91,False,3121,VIC,Australia,fr,Organic,Active,Desktop,inbox.example,5+,Monthly
CUS00081,2013-02-06,Gold,Premium,35-44,Store,Richmond,2,1861.08,False,3121,VIC,Australia,pl,Paid Search,Active,Desktop,example.net,3-4,Quarterly
CUS00082,2013-11-15,Silver,Mainstream,18-24,Mobile,Richmond,20,18343.18,True,3121,VIC,Australia,pt,Social,Active,Desktop,inbox.example,2,Monthly
CUS00083,2013-11-27,Silver,Small Business,55+,Web,Hawthorn,3,2281.39,True,3122,VIC,Australia,ar,Referral,Dormant,Desktop,example.net,3-4,Essential only
CUS00084,2013-11-09,Silver,Premium,45-54,Mobile,Melbourne,0,301.24,True,3000,VIC,Australia,nl,Referral,Active,Mobile,example.net,5+,Quarterly
CUS00085,2017-08-12,Bronze,Premium,35-44,Web,Southbank,5,5298.56,False,3006,VIC,Australia,pt,Social,Active,Tablet,inbox.example,3-4,Monthly
CUS00086,2014-12-26,Gold,Small Business,18-24,Mobile,Southbank,1,650.5,True,3006,VIC,Australia,ar,Organic,Dormant,Tablet,inbox.example,3-4,Quarterly
CUS00087,2016-12-18,Gold,Value,25-34,Web,Docklands,13,3133.14,False,3008,VIC,Australia,ar,Referral,Active,Tablet,inbox.example,3-4,Monthly
CUS00088,2017-08-25,Silver,Premium,25-34,Mobile,Melbourne,19,3486.91,True,3000,VIC,Australia,de,Organic,Active,Mobile,inbox.example,5+,Quarterly
CUS00089,2014-12-08,Silver,Premium,25-34,Mobile,Carlton,5,4791.31,True,3053,VIC,Australia,ja,Organic,Dormant,Tablet,inbox.example,2,Weekly
CUS00090,2013-04-22,Silver,Value,35-44,Store,Melbourne,2,2152.78,False,3000,VIC,Australia,es,Organic,Active,Desktop,inbox.example,2,Essential only
CUS00091,2015-05-07,Gold,Premium,45-54,Web,Richmond,14,13303.77,True,3121,VIC,Australia,pt,Referral,Dormant,Desktop,mail.test,2,Monthly
CUS00092,2013-04-06,Bronze,Value,55+,Store,Richmond,13,7579.65,False,3121,VIC,Australia,ru,Social,Active,Mobile,example.net,5+,Weekly
CUS00093,2016-08-15,Silver,Premium,18-24,Mobile,Southbank,7,4532.32,True,3006,VIC,Australia,ru,Referral,Active,Tablet,example.net,2,Essential only
CUS00094,2017-05-14,Gold,Small Business,35-44,Store,Docklands,0,176.47,True,3008,VIC,Australia,ru,Store,Active,Mobile,mail.test,5+,Weekly
CUS00095,2016-04-02,Bronze,Value,55+,Mobile,Carlton,13,6623.6,True,3053,VIC,Australia,ar,Paid Search,Active,Desktop,inbox.example,3-4,Essential only
CUS00096,2016-01-10,Gold,Value,35-44,Web,Brunswick,17,8759.46,False,3056,VIC,Australia,pl,Social,Active,Desktop,mail.test,1,Monthly
CUS00097,2013-04-07,Platinum,Premium,18-24,Store,Northcote,11,4331.57,True,3070,VIC,Australia,nl,Social,Active,Tablet,mail.test,5+,Quarterly
CUS00098,2013-10-23,Bronze,Value,25-34,Mobile,Brunswick,18,8985.06,True,3056,VIC,Australia,ru,Paid Search,Active,Desktop,mail.test,5+,Quarterly
CUS00099,2015-09-17,Bronze,Small Business,55+,Web,Melbourne,1,1107.54,True,3000,VIC,Australia,it,Social,Active,Mobile,inbox.example,1,Monthly
CUS00100,2017-04-27,Bronze,Premium,35-44,Store,Brunswick,10,7890.38,True,3056,VIC,Australia,pt,Social,Active,Desktop,mail.test,5+,Essential only
CUS00101,2017-04-22,Silver,Mainstream,55+,Mobile,St Kilda,16,4554.4,True,3182,VIC,Australia,en,Organic,Active,Desktop,example.net,5+,Essential only
CUS00102,2014-05-12,Gold,Small Business,35-44,Store,Hawthorn,5,5332.63,True,3122,VIC,Australia,nl,Paid Search,Dormant,Desktop,inbox.example,3-4,Weekly
CUS00103,2015-08-21,Bronze,Small Business,35-44,Mobile,Southbank,7,3819.64,True,3006,VIC,Australia,fr,Paid Search,Active,Desktop,example.net,1,Quarterly
CUS00104,2015-07-05,Bronze,Mainstream,18-24,Web,Docklands,13,1668.37,False,3008,VIC,Australia,hi,Organic,Active,Mobile,mail.test,2,Essential only
CUS00105,2015-06-21,Gold,Mainstream,18-24,Mobile,Hawthorn,3,2261.01,True,3122,VIC,Australia,nl,Social,Active,Desktop,example.net,5+,Monthly
CUS00106,2014-02-13,Bronze,Premium,25-34,Mobile,Hawthorn,0,441.28,True,3122,VIC,Australia,ja,Paid Search,Active,Tablet,example.net,1,Quarterly
CUS00107,2013-05-23,Silver,Value,35-44,Mobile,Southbank,16,10393.24,True,3006,VIC,Australia,zh,Social,Active,Mobile,inbox.example,2,Essential only
CUS00108,2013-07-12,Silver,Mainstream,35-44,Store,St Kilda,16,4610.8,True,3182,VIC,Australia,ja,Social,Active,Tablet,example.net,1,Essential only
CUS00109,2014-11-18,Bronze,Small Business,18-24,Web,Brunswick,19,13813.05,True,3056,VIC,Australia,ja,Organic,Active,Desktop,inbox.example,5+,Weekly
CUS00110,2015-10-24,Silver,Premium,35-44,Store,Footscray,18,9434.23,False,3011,VIC,Australia,zh,Social,Active,Mobile,inbox.example,2,Weekly
CUS00111,2013-05-16,Silver,Premium,18-24,Web,Docklands,8,960.77,True,3008,VIC,Australia,it,Paid Search,Active,Tablet,mail.test,2,Weekly
CUS00112,2016-04-19,Gold,Small Business,18-24,Store,Southbank,12,6479.85,True,3006,VIC,Australia,ru,Social,Active,Desktop,example.net,1,Monthly
CUS00113,2017-06-20,Platinum,Premium,55+,Store,Hawthorn,4,2899.71,True,3122,VIC,Australia,pt,Store,Active,Desktop,mail.test,1,Essential only
CUS00114,2014-03-04,Silver,Small Business,45-54,Store,St Kilda,1,1349.2,True,3182,VIC,Australia,zh,Store,Active,Desktop,mail.test,5+,Weekly
CUS00115,2016-03-02,Silver,Small Business,55+,Mobile,Footscray,18,13934.82,False,3011,VIC,Australia,en,Paid Search,Active,Desktop,mail.test,3-4,Quarterly
CUS00116,2015-02-10,Silver,Small Business,25-34,Store,Melbourne,2,325.73,False,3000,VIC,Australia,de,Paid Search,Active,Tablet,inbox.example,5+,Essential only
CUS00117,2013-02-01,Bronze,Value,55+,Mobile,Hawthorn,16,9485.51,True,3122,VIC,Australia,de,Organic,Active,Mobile,mail.test,5+,Essential only
CUS00118,2016-01-03,Silver,Mainstream,18-24,Web,Southbank,16,1595.82,True,3006,VIC,Australia,fr,Store,Active,Desktop,example.net,2,Weekly
CUS00119,2013-12-12,Gold,Value,55+,Mobile,Hawthorn,0,175.67,True,3122,VIC,Australia,ar,Social,Active,Tablet,mail.test,5+,Quarterly
CUS00120,2016-03-26,Gold,Value,45-54,Web,Richmond,2,2567.03,True,3121,VIC,Australia,en,Paid Search,Active,Desktop,inbox.example,2,Weekly
CUS00121,2014-02-13,Gold,Small Business,55+,Store,Richmond,17,4383.29,True,3121,VIC,Australia,es,Paid Search,Review,Tablet,example.net,1,Essential only
CUS00122,2017-07-19,Silver,Value,55+,Store,Melbourne,6,4894.65,True,3000,VIC,Australia,en,Referral,Active,Desktop,inbox.example,5+,Weekly
CUS00123,2014-12-03,Bronze,Mainstream,18-24,Web,Docklands,6,1796.12,True,3008,VIC,Australia,de,Referral,Active,Desktop,example.net,3-4,Monthly
CUS00124,2014-09-22,Bronze,Mainstream,18-24,Web,Hawthorn,15,5436.63,False,3122,VIC,Australia,ar,Paid Search,Active,Mobile,mail.test,5+,Quarterly
CUS00125,2014-03-15,Bronze,Premium,55+,Store,Richmond,19,3326.73,True,3121,VIC,Australia,it,Referral,Active,Mobile,example.net,1,Quarterly
CUS00126,2017-12-17,Platinum,Premium,18-24,Store,Southbank,15,14127.12,False,3006,VIC,Australia,en,Paid Search,Active,Mobile,inbox.example,5+,Essential only
CUS00127,2016-07-16,Silver,Mainstream,35-44,Store,Hawthorn,11,8917.28,False,3122,VIC,Australia,nl,Store,Active,Mobile,mail.test,5+,Essential only
CUS00128,2014-03-16,Gold,Premium,25-34,Mobile,St Kilda,21,2997.83,False,3182,VIC,Australia,hi,Social,Active,Desktop,mail.test,5+,Quarterly
CUS00129,2016-04-16,Silver,Mainstream,35-44,Web,Carlton,9,8956.08,False,3053,VIC,Australia,zh,Social,Active,Tablet,inbox.example,2,Quarterly
CUS00130,2013-02-21,Gold,Premium,18-24,Web,St Kilda,9,3527.73,True,3182,VIC,Australia,hi,Social,Active,Desktop,mail.test,5+,Monthly
CUS00131,2017-10-14,Bronze,Value,18-24,Mobile,Brunswick,19,7180.91,True,3056,VIC,Australia,pt,Referral,Active,Desktop,example.net,2,Weekly
CUS00132,2016-11-11,Silver,Premium,18-24,Mobile,Southbank,6,4138.04,True,3006,VIC,Australia,nl,Social,Active,Desktop,inbox.example,2,Essential only
CUS00133,2014-01-24,Platinum,Value,55+,Web,Footscray,12,7948.8,True,3011,VIC,Australia,hi,Paid Search,Active,Desktop,inbox.example,1,Essential only
CUS00134,2015-04-23,Bronze,Premium,55+,Web,St Kilda,5,5359.31,True,3182,VIC,Australia,fr,Social,Active,Mobile,mail.test,1,Monthly
CUS00135,2015-03-16,Platinum,Premium,35-44,Mobile,Richmond,6,3316.82,False,3121,VIC,Australia,ru,Paid Search,Active,Tablet,inbox.example,5+,Monthly
CUS00136,2016-08-18,Silver,Premium,25-34,Web,Melbourne,1,1709.13,False,3000,VIC,Australia,it,Social,Active,Mobile,mail.test,2,Quarterly
CUS00137,2017-10-11,Bronze,Premium,45-54,Mobile,Richmond,4,1059.23,True,3121,VIC,Australia,ar,Paid Search,Active,Desktop,inbox.example,5+,Quarterly
CUS00138,2017-12-16,Silver,Mainstream,35-44,Store,Melbourne,18,1972.09,True,3000,VIC,Australia,en,Organic,Active,Mobile,mail.test,2,Quarterly
CUS00139,2013-05-16,Gold,Premium,18-24,Mobile,Southbank,4,670.96,True,3006,VIC,Australia,nl,Organic,Active,Tablet,inbox.example,1,Monthly
CUS00140,2016-02-03,Bronze,Value,35-44,Mobile,Northcote,12,1999.62,True,3070,VIC,Australia,ja,Paid Search,Active,Tablet,inbox.example,2,Quarterly
CUS00141,2017-07-17,Silver,Small Business,55+,Mobile,Melbourne,18,11643.77,True,3000,VIC,Australia,de,Referral,Active,Mobile,mail.test,5+,Essential only
CUS00142,2015-10-04,Platinum,Small Business,55+,Web,Northcote,21,9175.53,True,3070,VIC,Australia,hi,Store,Active,Mobile,inbox.example,3-4,Essential only
CUS00143,2017-08-14,Silver,Value,35-44,Mobile,Northcote,15,9833.23,True,3070,VIC,Australia,ru,Paid Search,Active,Mobile,example.net,1,Essential only
CUS00144,2017-03-05,Gold,Small Business,45-54,Web,Docklands,2,1394.5,True,3008,VIC,Australia,nl,Social,Active,Mobile,example.net,3-4,Quarterly
CUS00145,2013-12-09,Silver,Small Business,35-44,Store,Hawthorn,19,9222.35,True,3122,VIC,Australia,pt,Paid Search,Active,Mobile,inbox.example,5+,Quarterly
CUS00146,2016-06-09,Gold,Value,18-24,Mobile,Southbank,1,1736.4,True,3006,VIC,Australia,es,Store,Active,Tablet,mail.test,2,Quarterly
CUS00147,2013-09-20,Bronze,Value,25-34,Store,Carlton,3,1945.35,True,3053,VIC,Australia,fr,Social,Active,Desktop,example.net,2,Weekly
CUS00148,2015-05-24,Bronze,Premium,35-44,Store,Carlton,19,15568.28,True,3053,VIC,Australia,hi,Organic,Active,Tablet,inbox.example,1,Weekly
CUS00149,2014-12-12,Silver,Value,45-54,Mobile,Hawthorn,6,5148.3,False,3122,VIC,Australia,en,Store,Active,Mobile,example.net,5+,Essential only
CUS00150,2017-02-11,Silver,Premium,35-44,Mobile,Melbourne,14,10478.51,True,3000,VIC,Australia,ar,Store,Active,Tablet,inbox.example,2,Weekly
CUS00151,2016-11-06,Silver,Premium,55+,Mobile,Footscray,0,225.24,True,3011,VIC,Australia,nl,Social,Active,Tablet,example.net,2,Monthly
CUS00152,2013-04-03,Bronze,Mainstream,55+,Store,Docklands,2,1523.38,True,3008,VIC,Australia,es,Social,Active,Mobile,inbox.example,5+,Essential only
CUS00153,2017-09-16,Bronze,Value,25-34,Mobile,Northcote,4,2216.99,True,3070,VIC,Australia,pt,Store,Active,Tablet,example.net,3-4,Essential only
CUS00154,2016-01-10,Silver,Mainstream,18-24,Store,Hawthorn,17,3319.66,True,3122,VIC,Australia,ar,Paid Search,Active,Desktop,example.net,1,Essential only
CUS00155,2013-02-16,Silver,Small Business,35-44,Mobile,Brunswick,19,6207.48,True,3056,VIC,Australia,de,Social,Active,Desktop,inbox.example,3-4,Essential only
CUS00156,2013-03-06,Silver,Small Business,55+,Mobile,Docklands,21,16795.39,False,3008,VIC,Australia,es,Social,Active,Desktop,example.net,1,Weekly
CUS00157,2017-08-27,Bronze,Small Business,25-34,Store,Footscray,21,6971.99,True,3011,VIC,Australia,pl,Referral,Active,Mobile,inbox.example,2,Monthly
CUS00158,2016-08-14,Gold,Premium,55+,Web,Docklands,0,593.58,False,3008,VIC,Australia,de,Paid Search,Active,Desktop,example.net,5+,Quarterly
CUS00159,2013-07-04,Gold,Mainstream,35-44,Web,Richmond,20,7735.73,True,3121,VIC,Australia,de,Social,Dormant,Desktop,mail.test,1,Monthly
CUS00160,2016-07-21,Silver,Mainstream,55+,Mobile,Footscray,13,11691.61,False,3011,VIC,Australia,nl,Social,Active,Desktop,mail.test,2,Weekly
CUS00161,2013-01-22,Bronze,Premium,55+,Store,Hawthorn,7,1184.16,False,3122,VIC,Australia,pt,Paid Search,Dormant,Desktop,inbox.example,1,Monthly
CUS00162,2017-10-09,Silver,Mainstream,18-24,Web,Brunswick,16,10018.39,True,3056,VIC,Australia,fr,Organic,Dormant,Mobile,inbox.example,5+,Monthly
CUS00163,2016-11-23,Platinum,Premium,55+,Web,St Kilda,5,1766.93,False,3182,VIC,Australia,ru,Paid Search,Active,Mobile,example.net,1,Essential only
CUS00164,2013-05-16,Silver,Value,55+,Store,Hawthorn,16,4539.55,False,3122,VIC,Australia,ru,Referral,Active,Tablet,example.net,2,Weekly
CUS00165,2014-12-10,Gold,Premium,45-54,Store,Southbank,13,4124.34,False,3006,VIC,Australia,es,Referral,Active,Tablet,mail.test,5+,Monthly
