mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-12,orders,coupon_code,both,$.orders[].header.couponCode,/OperationsExport/Orders/Order/Header/Coupon_Code,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-13,orders,coupon_discount,both,$.orders[].header.couponDiscount,/OperationsExport/Orders/Order/Header/Coupon_Discount,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-14,orders,tax_amount,derived,derived canonical orders.order_price,derived canonical orders.order_price,"round(order_price / 11, 2), included GST",Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-15,orders,order_total,derived,derived order_price | $.orders[].header.couponDiscount | $.orders[].header.deliveryCharges,derived order_price | /OperationsExport/Orders/Order/Header/Coupon_Discount | /OperationsExport/Orders/Order/Header/Delivery_Charges,"round(order_price * (1 - coupon_discount/100) + delivery_charges, 2)",Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-16,orders,season,both,$.orders[].header.season,/OperationsExport/Orders/Order/Header/Season,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-17,orders,expedited_delivery,both,$.orders[].header.expeditedDelivery,/OperationsExport/Orders/Order/Header/Expedited_Delivery,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-18,orders,customer_lat,both,$.orders[].header.customerLat,/OperationsExport/Orders/Order/Header/Customer_Lat,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-19,orders,customer_long,both,$.orders[].header.customerLong,/OperationsExport/Orders/Order/Header/Customer_Long,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-20,orders,device_type,both,$.orders[].header.deviceType,/OperationsExport/Orders/Order/Header/Device_Type,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-21,orders,referral_source,both,$.orders[].header.referralSource,/OperationsExport/Orders/Order/Header/Referral_Source,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-22,orders,customer_note_clean,both,$.orders[].header.customerNoteClean,/OperationsExport/Orders/Order/Header/Customer_Note_Clean,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-23,orders,promo_code,both,$.orders[].header.customerNote,/OperationsExport/Orders/Order/Header/Customer_Note,bounded extraction from raw customer note; uppercase or literal NaN,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-order_items-01,order_items,order_item_id,both,$.orders[].shoppingCart[].orderItemID,/OperationsExport/Orders/Order/Shopping_Cart/Item/Order_Item_ID,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — order_items; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-order_items-02,order_items,order_id,both,$.orders[].shoppingCart[].orderID,/OperationsExport/Orders/Order/Shopping_Cart/Item/Order_ID,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — order_items; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-order_items-03,order_items,product_id,both,$.orders[].shoppingCart[].productID,/OperationsExport/Orders/Order/Shopping_Cart/Item/Product_ID,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — order_items; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-order_items-04,order_items,quantity,both,$.orders[].shoppingCart[].quantity,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — order_items; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-order_items-05,order_items,unit_price,both,$.orders[].shoppingCart[].unitPrice,/OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — order_items; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-order_items-06,order_items,line_revenue,derived,$.orders[].shoppingCart[].quantity | $.orders[].shoppingCart[].unitPrice,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price,"round(quantity * unit_price, 2)",Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — order_items; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-01,customers,customer_id,JSON,$.customerProfiles[].customerID,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-02,customers,signup_date,JSON,$.customerProfiles[].signupDate,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-03,customers,loyalty_tier,JSON,$.customerProfiles[].loyaltyTier,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-04,customers,customer_segment,JSON,$.customerProfiles[].customerSegment,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-05,customers,age_band,JSON,$.customerProfiles[].ageBand,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-06,customers,preferred_channel,JSON,$.customerProfiles[].preferredChannel,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-07,customers,home_suburb,JSON,$.customerProfiles[].homeSuburb,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-08,customers,prior_12m_orders,JSON,$.customerProfiles[].prior12MOrders,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-09,customers,lifetime_value_before_period,JSON,$.customerProfiles[].lifetimeValueBeforePeriod,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-10,customers,marketing_consent,JSON,$.customerProfiles[].marketingConsent,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-11,customers,home_postcode,JSON,$.customerProfiles[].homePostcode,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-12,customers,home_state,JSON,$.customerProfiles[].homeState,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-13,customers,home_country,JSON,$.customerProfiles[].homeCountry,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-14,customers,preferred_language,JSON,$.customerProfiles[].preferredLanguage,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-15,customers,acquisition_source,JSON,$.customerProfiles[].acquisitionSource,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-16,customers,account_status,JSON,$.customerProfiles[].accountStatus,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-17,customers,preferred_device,JSON,$.customerProfiles[].preferredDevice,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-18,customers,email_domain,JSON,$.customerProfiles[].emailDomain,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-19,customers,household_size_band,JSON,$.customerProfiles[].householdSizeBand,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-customers-20,customers,contact_frequency_preference,JSON,$.customerProfiles[].contactFrequencyPreference,,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — customers; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-01,deliveries,delivery_id,both,$.orders[].delivery.deliveryID,/OperationsExport/Orders/Order/Delivery/Delivery_ID,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-02,deliveries,order_id,both,$.orders[].delivery.orderID,/OperationsExport/Orders/Order/Delivery/Order_ID,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-03,deliveries,dispatch_date,both,$.orders[].delivery.dispatchDate,/OperationsExport/Orders/Order/Delivery/Dispatch_Date,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-04,deliveries,promised_date,both,$.orders[].delivery.promisedDate,/OperationsExport/Orders/Order/Delivery/Promised_Date,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-05,deliveries,delivered_date,both,$.orders[].delivery.deliveredDate,/OperationsExport/Orders/Order/Delivery/Delivered_Date,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-06,deliveries,carrier,both,$.orders[].delivery.carrier,/OperationsExport/Orders/Order/Delivery/Carrier,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-07,deliveries,service_level,both,$.orders[].delivery.serviceLevel,/OperationsExport/Orders/Order/Delivery/Service_Level,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-08,deliveries,delivery_status,both,$.orders[].delivery.deliveryStatus,/OperationsExport/Orders/Order/Delivery/Delivery_Status,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-09,deliveries,delay_days,both,$.orders[].delivery.delayDays,/OperationsExport/Orders/Order/Delivery/Delay_Days,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-10,deliveries,on_time_in_full,both,$.orders[].delivery.onTimeInFull,/OperationsExport/Orders/Order/Delivery/On_Time_In_Full,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-11,deliveries,fulfilment_hours,both,$.orders[].delivery.fulfilmentHours,/OperationsExport/Orders/Order/Delivery/Fulfilment_Hours,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-12,deliveries,delivery_cost,both,$.orders[].delivery.deliveryCost,/OperationsExport/Orders/Order/Delivery/Delivery_Cost,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-13,deliveries,delay_reason,both,$.orders[].delivery.delayReason,/OperationsExport/Orders/Order/Delivery/Delay_Reason,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-14,deliveries,promised_days,both,$.orders[].delivery.promisedDays,/OperationsExport/Orders/Order/Delivery/Promised_Days,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-15,deliveries,tracking_event_count,both,$.orders[].delivery.trackingEventCount,/OperationsExport/Orders/Order/Delivery/Tracking_Event_Count,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-16,deliveries,delivery_window,both,$.orders[].delivery.deliveryWindow,/OperationsExport/Orders/Order/Delivery/Delivery_Window,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-17,deliveries,shipping_distance_km,both,$.orders[].delivery.shippingDistanceKm,/OperationsExport/Orders/Order/Delivery/Shipping_Distance_Km,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-18,deliveries,signature_required,both,$.orders[].delivery.signatureRequired,/OperationsExport/Orders/Order/Delivery/Signature_Required,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-19,deliveries,estimated_carbon_kg,both,$.orders[].delivery.estimatedCarbonKg,/OperationsExport/Orders/Order/Delivery/Estimated_Carbon_Kg,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-deliveries-20,deliveries,delivery_note_clean,both,$.orders[].delivery.deliveryNoteClean,/OperationsExport/Orders/Order/Delivery/Delivery_Note_Clean,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — deliveries; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-products-01,products,product_id,XML,,/OperationsExport/ProductCatalogue/Product/Product_ID,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — products; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-products-02,products,product_name,XML,,/OperationsExport/ProductCatalogue/Product/Product_Name,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — products; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-products-03,products,category,XML,,/OperationsExport/ProductCatalogue/Product/Category,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — products; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-products-04,products,brand,XML,,/OperationsExport/ProductCatalogue/Product/Brand,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — products; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-products-05,products,unit_price,XML,,/OperationsExport/ProductCatalogue/Product/Unit_Price,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — products; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-products-06,products,unit_cost,XML,,/OperationsExport/ProductCatalogue/Product/Unit_Cost,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — products; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-products-07,products,launch_year,XML,,/OperationsExport/ProductCatalogue/Product/Launch_Year,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — products; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-products-08,products,warranty_months,XML,,/OperationsExport/ProductCatalogue/Product/Warranty_Months,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — products; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-products-09,products,weight_kg,XML,,/OperationsExport/ProductCatalogue/Product/Weight_Kg,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — products; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-products-10,products,product_sku,XML,,/OperationsExport/ProductCatalogue/Product/Product_Sku,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — products; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-products-11,products,subcategory,XML,,/OperationsExport/ProductCatalogue/Product/Subcategory,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — products; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
