order_id,source_system_record_id,customer_id,order_timestamp,sales_channel,payment_method,currency,nearest_warehouse,order_status,order_price,delivery_charges,coupon_code,coupon_discount,tax_amount,order_total,season,expedited_delivery,customer_lat,customer_long,device_type,referral_source,customer_note_clean,promo_code
HORD000012,SRC-030-H-000012,CUS00196,2018-06-16 16:58:00,Mobile,Card,AUD,Thompson,Completed,3777.67,15.2,NaN,5.0,343.42,3603.99,Winter,False,-37.763094,144.916844,Desktop,Paid Search,please leave at reception,NaN
HORD000013,SRC-030-H-000013,CUS00050,2018-06-08 09:23:00,Store,Gift Card,AUD,Bakers,Completed,9302.07,13.75,NaN,5.0,845.64,8850.72,Winter,False,-37.770558,144.989787,Mobile,Referral,no special instruction,NaN
HORD000014,SRC-030-H-000014,CUS00391,2018-12-17 17:04:00,Web,PayPal,AUD,Bakers,Completed,1506.8,12.96,NaN,0.0,136.98,1519.76,Summer,False,-37.848543,145.059447,Desktop,Referral,please use minimal packaging,NaN
HORD000015,SRC-030-H-000015,CUS00190,2018-05-23 09:32:00,Web,Card,AUD,Nickolson,Completed,1407.7,11.75,NaN,10.0,127.97,1278.68,Autumn,False,-37.872563,144.957407,Mobile,Social,no special instruction,NaN
HORD000016,SRC-030-H-000016,CUS00032,2018-01-31 12:13:00,Mobile,PayPal,AUD,Bakers,Completed,2121.44,12.4,NaN,5.0,192.86,2027.77,Summer,False,-37.787238,145.06071,Desktop,Social,no special instruction,NaN
HORD000017,SRC-030-H-000017,CUS00081,2018-08-06 20:52:00,Mobile,PayPal,AUD,Thompson,Completed,1633.38,16.28,NaN,0.0,148.49,1649.66,Winter,False,-37.747118,144.933655,Desktop,Paid Search,call before delivery,NaN
HORD000018,SRC-030-H-000018,CUS00310,2018-01-20 08:07:00,Web,Bank Transfer,AUD,Bakers,Completed,3668.46,14.77,NaN,0.0,333.5,3683.23,Summer,False,-37.884544,145.052009,Desktop,Social,no special instruction,NaN
HORD000019,SRC-030-H-000019,CUS00446,2018-04-14 19:18:00,Web,Card,AUD,Bakers,Completed,2516.1,24.68,NaN,5.0,228.74,2414.97,Autumn,True,-37.874471,145.048652,Mobile,Store,please leave at reception,NaN
HORD000020,SRC-030-H-000020,CUS00085,2018-02-19 18:40:00,Mobile,Gift Card,AUD,Bakers,Completed,2034.14,10.51,NaN,10.0,184.92,1841.24,Summer,False,-37.815363,145.035451,Tablet,Social,no special instruction,NaN
HORD000021,SRC-030-H-000021,CUS00103,2018-08-20 11:13:00,Mobile,Gift Card,AUD,Thompson,Completed,2485.69,15.06,NaN,5.0,225.97,2376.47,Winter,False,-37.772545,144.902139,Desktop,Paid Search,gift purchase for a family member,NaN
HORD000022,SRC-030-H-000022,CUS00216,2018-09-07 11:05:00,Web,Card,AUD,Bakers,Completed,5465.07,10.08,NaN,0.0,496.82,5475.15,Spring,False,-37.77927,144.984989,Tablet,Referral,no special instruction,NaN
HORD000023,SRC-030-H-000023,CUS00077,2018-02-08 09:24:00,Web,PayPal,AUD,Thompson,Completed,2083.42,10.02,NaN,0.0,189.4,2093.44,Summer,False,-37.824901,144.918153,Mobile,Paid Search,no special instruction,NaN
HORD000024,SRC-030-H-000024,CUS00261,2018-10-17 12:33:00,Store,Card,AUD,Thompson,Completed,1710.62,12.52,NaN,0.0,155.51,1723.14,Spring,False,-37.87138,144.922208,Mobile,Organic,please use minimal packaging,NaN
HORD000025,SRC-030-H-000025,CUS00093,2018-10-16 20:38:00,Mobile,PayPal,AUD,Thompson,Completed,2523.03,20.61,NaN,0.0,229.37,2543.64,Spring,True,-37.844394,144.940795,Tablet,Referral,call before delivery,NaN
HORD000026,SRC-030-H-000026,CUS00390,2018-09-19 15:39:00,Web,Card,AUD,Bakers,Completed,2404.92,10.12,NaN,5.0,218.63,2294.79,Spring,False,-37.77788,144.99123,Mobile,Store,please use minimal packaging,NaN
HORD000027,SRC-030-H-000027,CUS00105,2018-03-23 16:13:00,Web,Card,AUD,Bakers,Completed,1807.21,8.31,B2SAVE-36,15.0,164.29,1544.44,Autumn,False,-37.799572,144.981436,Desktop,Social,call before delivery,B2SAVE-36
HORD000028,SRC-030-H-000028,CUS00170,2018-04-04 10:15:00,Web,Card,AUD,Bakers,Completed,3181.26,8.92,NaN,5.0,289.21,3031.12,Autumn,False,-37.790009,145.00734,Mobile,Referral,call before delivery,NaN
HORD000029,SRC-030-H-000029,CUS00326,2018-12-09 21:10:00,Store,Gift Card,AUD,Bakers,Completed,1968.88,12.81,B2SAVE-38,15.0,178.99,1686.36,Summer,False,-37.851966,145.052709,Mobile,Store,gift purchase for a family member,B2SAVE-38
HORD000030,SRC-030-H-000030,CUS00427,2018-07-18 16:13:00,Store,Card,AUD,Thompson,Completed,1710.95,15.72,NaN,0.0,155.54,1726.67,Winter,False,-37.759633,144.910313,Mobile,Store,no special instruction,NaN
HORD000031,SRC-030-H-000031,CUS00347,2018-05-23 14:43:00,Mobile,Card,AUD,Bakers,Completed,5743.16,12.65,NaN,5.0,522.11,5468.65,Autumn,False,-37.774425,145.06437,Mobile,Social,gift purchase for a family member,NaN
HORD000032,SRC-030-H-000032,CUS00491,2018-02-18 19:08:00,Mobile,Bank Transfer,AUD,Thompson,Completed,2650.86,12.24,NaN,0.0,240.99,2663.1,Summer,False,-37.808694,144.878361,Tablet,Organic,please use minimal packaging,NaN
HORD000033,SRC-030-H-000033,CUS00331,2018-04-04 12:39:00,Mobile,PayPal,AUD,Thompson,Completed,9139.95,22.58,B2SAVE-42,15.0,830.9,7791.54,Autumn,True,-37.851775,144.902109,Mobile,Store,please leave at reception,B2SAVE-42
HORD000034,SRC-030-H-000034,CUS00418,2018-12-27 16:52:00,Store,PayPal,AUD,Nickolson,Completed,926.46,12.91,B2SAVE-43,15.0,84.22,800.4,Summer,False,-37.881058,144.980989,Mobile,Paid Search,no special instruction,B2SAVE-43
HORD000035,SRC-030-H-000035,CUS00294,2018-12-08 10:33:00,Store,Gift Card,AUD,Thompson,Completed,7061.37,22.6,NaN,0.0,641.94,7083.97,Summer,True,-37.77554,144.888915,Mobile,Organic,please leave at reception,NaN
HORD000036,SRC-030-H-000036,CUS00279,2018-10-29 10:22:00,Mobile,PayPal,AUD,Bakers,Completed,3647.4,10.64,NaN,10.0,331.58,3293.3,Spring,False,-37.772121,145.005295,Desktop,Store,please leave at reception,NaN
HORD000037,SRC-030-H-000037,CUS00086,2018-06-27 18:21:00,Mobile,PayPal,AUD,Thompson,Completed,1059.64,15.74,NaN,10.0,96.33,969.42,Winter,False,-37.754702,144.924067,Tablet,Organic,please leave at reception,NaN
HORD000038,SRC-030-H-000038,CUS00070,2018-01-18 17:19:00,Web,Bank Transfer,AUD,Bakers,Completed,3511.57,12.11,NaN,10.0,319.23,3172.52,Summer,False,-37.843384,145.046931,Tablet,Organic,please leave at reception,NaN
HORD000039,SRC-030-H-000039,CUS00175,2018-10-14 17:55:00,Store,Bank Transfer,AUD,Thompson,Completed,3086.36,11.43,NaN,0.0,280.58,3097.79,Spring,False,-37.850961,144.909526,Tablet,Store,no special instruction,NaN
HORD000040,SRC-030-H-000040,CUS00333,2018-03-24 12:14:00,Web,Card,AUD,Nickolson,Completed,3398.21,11.81,NaN,0.0,308.93,3410.02,Autumn,False,-37.871811,144.989179,Tablet,Paid Search,please use minimal packaging,NaN
HORD000041,SRC-030-H-000041,CUS00043,2018-06-27 09:39:00,Store,Card,AUD,Thompson,Completed,5443.96,15.28,NaN,10.0,494.91,4914.84,Winter,False,-37.758683,144.928723,Tablet,Paid Search,please use minimal packaging,NaN
HORD000042,SRC-030-H-000042,CUS00328,2018-03-06 12:47:00,Web,Bank Transfer,AUD,Bakers,Completed,1820.68,12.5,NaN,0.0,165.52,1833.18,Autumn,False,-37.871433,145.01485,Desktop,Referral,gift purchase for a family member,NaN
HORD000043,SRC-030-H-000043,CUS00450,2018-07-01 16:35:00,Web,Bank Transfer,AUD,Thompson,Completed,456.14,30.2,B2SAVE-52,15.0,41.47,417.92,Winter,True,-37.75804,144.879979,Tablet,Referral,no special instruction,B2SAVE-52
HORD000044,SRC-030-H-000044,CUS00271,2018-08-30 11:59:00,Mobile,Bank Transfer,AUD,Bakers,Completed,1333.41,12.81,NaN,0.0,121.22,1346.22,Winter,False,-37.820444,145.030522,Desktop,Referral,please use minimal packaging,NaN
HORD000045,SRC-030-H-000045,CUS00472,2018-02-16 19:57:00,Mobile,Card,AUD,Nickolson,Completed,3275.2,13.12,B2SAVE-54,25.0,297.75,2469.52,Summer,False,-37.874693,145.01292,Tablet,Store,please leave at reception,B2SAVE-54
HORD000046,SRC-030-H-000046,CUS00442,2018-08-10 13:27:00,Mobile,Gift Card,AUD,Thompson,Completed,3800.5,10.71,NaN,0.0,345.5,3811.21,Winter,False,-37.805554,144.943895,Mobile,Organic,call before delivery,NaN
HORD000047,SRC-030-H-000047,CUS00074,2018-06-23 11:47:00,Web,Gift Card,AUD,Bakers,Completed,1205.46,12.83,NaN,0.0,109.59,1218.29,Winter,False,-37.81884,145.031412,Mobile,Paid Search,please use minimal packaging,NaN
HORD000048,SRC-030-H-000048,CUS00066,2018-07-09 17:53:00,Mobile,Gift Card,AUD,Thompson,Completed,951.13,16.66,NaN,10.0,86.47,872.68,Winter,False,-37.747428,144.913284,Mobile,Referral,please leave at reception,NaN
HORD000049,SRC-030-H-000049,CUS00345,2018-08-13 11:57:00,Mobile,Gift Card,AUD,Bakers,Completed,4353.52,10.91,NaN,5.0,395.77,4146.75,Winter,False,-37.805237,145.005834,Tablet,Store,no special instruction,NaN
HORD000050,SRC-030-H-000050,CUS00051,2018-06-12 12:08:00,Store,Bank Transfer,AUD,Thompson,Completed,2690.49,15.42,NaN,10.0,244.59,2436.86,Winter,False,-37.77175,144.896196,Desktop,Paid Search,please leave at reception,NaN
HORD000051,SRC-030-H-000051,CUS00108,2018-06-06 08:42:00,Web,PayPal,AUD,Thompson,Completed,3407.34,13.94,NaN,0.0,309.76,3421.28,Winter,False,-37.782285,144.910918,Tablet,Social,please use minimal packaging,NaN
HORD000052,SRC-030-H-000052,CUS00042,2018-11-08 18:02:00,Store,PayPal,AUD,Bakers,Completed,5814.17,11.1,NaN,0.0,528.56,5825.27,Spring,False,-37.827885,145.046534,Tablet,Store,call before delivery,NaN
HORD000053,SRC-030-H-000053,CUS00125,2018-02-27 08:06:00,Store,PayPal,AUD,Thompson,Completed,5568.39,9.95,NaN,0.0,506.22,5578.34,Summer,False,-37.799002,144.920588,Mobile,Referral,no special instruction,NaN
HORD000054,SRC-030-H-000054,CUS00042,2018-10-18 12:00:00,Mobile,Bank Transfer,AUD,Bakers,Completed,1173.54,11.1,B2SAVE-63,25.0,106.69,891.26,Spring,False,-37.827885,145.046534,Tablet,Store,please use minimal packaging,B2SAVE-63
HORD000055,SRC-030-H-000055,CUS00021,2018-07-30 18:44:00,Store,Bank Transfer,AUD,Thompson,Completed,3503.72,16.58,NaN,10.0,318.52,3169.93,Winter,False,-37.861215,144.883824,Desktop,Paid Search,call before delivery,NaN
HORD000056,SRC-030-H-000056,CUS00221,2018-06-25 08:18:00,Store,PayPal,AUD,Bakers,Completed,6452.77,14.62,NaN,0.0,586.62,6467.39,Winter,False,-37.764489,145.01763,Mobile,Store,gift purchase for a family member,NaN
HORD000057,SRC-030-H-000057,CUS00064,2018-01-10 10:35:00,Store,Gift Card,AUD,Thompson,Completed,1184.6,13.72,NaN,0.0,107.69,1198.32,Summer,False,-37.866688,144.883865,Desktop,Social,gift purchase for a family member,NaN
HORD000058,SRC-030-H-000058,CUS00066,2018-01-01 21:25:00,Web,Gift Card,AUD,Thompson,Completed,1447.03,13.49,NaN,0.0,131.55,1460.52,Summer,False,-37.747428,144.913284,Mobile,Referral,please leave at reception,NaN
HORD000059,SRC-030-H-000059,CUS00199,2018-09-04 20:48:00,Mobile,Card,AUD,Thompson,Completed,3471.92,14.9,NaN,10.0,315.63,3139.63,Spring,False,-37.88624,144.878988,Mobile,Store,gift purchase for a family member,NaN
HORD000060,SRC-030-H-000060,CUS00211,2018-08-11 21:48:00,Store,Bank Transfer,AUD,Bakers,Completed,2534.67,12.5,B2SAVE-69,15.0,230.42,2166.97,Winter,False,-37.831342,145.014913,Mobile,Referral,please leave at reception,B2SAVE-69
HORD000061,SRC-030-H-000061,CUS00396,2018-07-30 09:03:00,Store,PayPal,AUD,Bakers,Completed,3024.18,15.6,NaN,0.0,274.93,3039.78,Winter,False,-37.780535,145.060334,Mobile,Social,please use minimal packaging,NaN
HORD000062,SRC-030-H-000062,CUS00390,2018-04-05 13:13:00,Web,Gift Card,AUD,Bakers,Completed,5874.53,9.8,NaN,0.0,534.05,5884.33,Autumn,False,-37.77788,144.99123,Mobile,Store,no special instruction,NaN
HORD000063,SRC-030-H-000063,CUS00081,2018-02-10 15:07:00,Mobile,Bank Transfer,AUD,Thompson,Completed,3313.95,13.17,B2SAVE-72,20.0,301.27,2664.33,Summer,False,-37.747118,144.933655,Desktop,Paid Search,call before delivery,B2SAVE-72
HORD000064,SRC-030-H-000064,CUS00329,2018-12-04 14:04:00,Mobile,Gift Card,AUD,Thompson,Completed,1352.4,9.9,NaN,0.0,122.95,1362.3,Summer,False,-37.791028,144.9327,Tablet,Social,gift purchase for a family member,NaN
HORD000065,SRC-030-H-000065,CUS00476,2018-10-31 15:42:00,Store,Bank Transfer,AUD,Thompson,Completed,5851.03,11.83,NaN,5.0,531.91,5570.31,Spring,False,-37.760394,144.960379,Tablet,Organic,no special instruction,NaN
HORD000066,SRC-030-H-000066,CUS00227,2018-11-28 17:30:00,Mobile,Gift Card,AUD,Thompson,Completed,1428.11,11.79,NaN,5.0,129.83,1368.49,Spring,False,-37.819679,144.880758,Tablet,Organic,no special instruction,NaN
HORD000067,SRC-030-H-000067,CUS00026,2018-05-07 17:30:00,Store,PayPal,AUD,Nickolson,Completed,1344.77,12.59,NaN,0.0,122.25,1357.36,Autumn,False,-37.875283,145.008312,Tablet,Referral,please use minimal packaging,NaN
HORD000068,SRC-030-H-000068,CUS00007,2018-08-16 15:50:00,Mobile,Gift Card,AUD,Bakers,Completed,3847.87,26.64,NaN,0.0,349.81,3874.51,Winter,True,-37.771958,145.003189,Tablet,Referral,please leave at reception,NaN
HORD000069,SRC-030-H-000069,CUS00064,2018-11-28 08:09:00,Mobile,Bank Transfer,AUD,Thompson,Completed,6333.61,13.47,B2SAVE-78,20.0,575.78,5080.36,Spring,False,-37.866688,144.883865,Desktop,Social,gift purchase for a family member,B2SAVE-78
HORD000070,SRC-030-H-000070,CUS00355,2018-05-24 18:33:00,Web,Bank Transfer,AUD,Thompson,Completed,5290.47,20.99,NaN,10.0,480.95,4782.41,Autumn,True,-37.781197,144.929135,Mobile,Organic,please leave at reception,NaN
HORD000071,SRC-030-H-000071,CUS00245,2018-05-04 09:06:00,Web,Card,AUD,Thompson,Completed,4545.25,19.7,NaN,5.0,413.2,4337.69,Autumn,True,-37.832165,144.949271,Mobile,Organic,no special instruction,NaN
HORD000072,SRC-030-H-000072,CUS00454,2018-10-21 09:41:00,Mobile,Gift Card,AUD,Nickolson,Completed,996.88,13.01,NaN,0.0,90.63,1009.89,Spring,False,-37.884418,144.990306,Tablet,Social,gift purchase for a family member,NaN
HORD000073,SRC-030-H-000073,CUS00250,2018-06-01 21:10:00,Web,Bank Transfer,AUD,Bakers,Completed,4656.48,13.92,B2SAVE-82,20.0,423.32,3739.1,Winter,False,-37.787581,145.039462,Mobile,Organic,no special instruction,B2SAVE-82
HORD000074,SRC-030-H-000074,CUS00125,2018-07-31 11:53:00,Web,Gift Card,AUD,Thompson,Completed,2031.15,12.36,NaN,5.0,184.65,1941.95,Winter,False,-37.799002,144.920588,Mobile,Referral,please use minimal packaging,NaN
HORD000075,SRC-030-H-000075,CUS00376,2018-05-17 10:05:00,Mobile,Card,AUD,Bakers,Completed,1099.78,12.35,NaN,0.0,99.98,1112.13,Autumn,False,-37.768858,145.053323,Desktop,Social,no special instruction,NaN
HORD000076,SRC-030-H-000076,CUS00286,2018-01-01 09:45:00,Mobile,Bank Transfer,AUD,Thompson,Completed,1520.43,22.55,NaN,0.0,138.22,1542.98,Summer,True,-37.838625,144.880715,Desktop,Social,please use minimal packaging,NaN
HORD000077,SRC-030-H-000077,CUS00127,2018-01-26 20:56:00,Web,Gift Card,AUD,Nickolson,Completed,5479.89,13.83,NaN,0.0,498.17,5493.72,Summer,False,-37.886517,145.009674,Mobile,Store,please use minimal packaging,NaN
HORD000078,SRC-030-H-000078,CUS00041,2018-06-20 19:26:00,Web,Bank Transfer,AUD,Bakers,Completed,1088.91,12.5,NaN,5.0,98.99,1046.96,Winter,False,-37.792424,145.020171,Tablet,Paid Search,please use minimal packaging,NaN
HORD000079,SRC-030-H-000079,CUS00132,2018-05-15 18:47:00,Store,Bank Transfer,AUD,Thompson,Completed,4481.83,11.98,NaN,0.0,407.44,4493.81,Autumn,False,-37.800604,144.876064,Desktop,Social,no special instruction,NaN
HORD000080,SRC-030-H-000080,CUS00492,2018-03-25 21:41:00,Mobile,Card,AUD,Bakers,Completed,3534.3,9.95,NaN,0.0,321.3,3544.25,Autumn,False,-37.82271,145.035102,Desktop,Social,please leave at reception,NaN
HORD000081,SRC-030-H-000081,CUS00217,2018-06-10 19:50:00,Web,Bank Transfer,AUD,Bakers,Completed,2529.55,15.03,NaN,10.0,229.96,2291.63,Winter,False,-37.757538,144.983749,Mobile,Paid Search,please use minimal packaging,NaN
HORD000082,SRC-030-H-000082,CUS00434,2018-12-16 21:19:00,Mobile,Gift Card,AUD,Nickolson,Completed,3592.3,11.2,B2SAVE-11,15.0,326.57,3064.66,Summer,False,-37.855012,144.945268,Desktop,Store,gift purchase for a family member,B2SAVE-11
HORD000083,SRC-030-H-000083,CUS00115,2018-09-29 09:54:00,Web,Gift Card,AUD,Thompson,Completed,2999.82,9.67,NaN,10.0,272.71,2709.51,Spring,False,-37.836805,144.932435,Desktop,Paid Search,please leave at reception,NaN
HORD000084,SRC-030-H-000084,CUS00474,2018-10-27 10:48:00,Web,Card,AUD,Bakers,Completed,10831.53,11.61,B2SAVE-13,15.0,984.68,9218.41,Spring,False,-37.840648,145.04621,Mobile,Store,gift purchase for a family member,B2SAVE-13
HORD000085,SRC-030-H-000085,CUS00400,2018-12-18 10:18:00,Mobile,Card,AUD,Bakers,Completed,712.57,13.16,B2SAVE-14,15.0,64.78,618.84,Summer,False,-37.870565,145.029156,Mobile,Paid Search,gift purchase for a family member,B2SAVE-14
HORD000086,SRC-030-H-000086,CUS00090,2018-04-01 20:43:00,Store,PayPal,AUD,Bakers,Completed,4185.05,22.66,NaN,5.0,380.46,3998.46,Autumn,True,-37.75903,144.973607,Desktop,Organic,call before delivery,NaN
HORD000087,SRC-030-H-000087,CUS00035,2018-11-14 15:10:00,Mobile,Bank Transfer,AUD,Bakers,Completed,3701.42,13.02,NaN,5.0,336.49,3529.37,Spring,False,-37.742034,144.998155,Mobile,Paid Search,please use minimal packaging,NaN
HORD000088,SRC-030-H-000088,CUS00213,2018-03-20 20:23:00,Mobile,Card,AUD,Bakers,Completed,4181.07,11.73,NaN,0.0,380.1,4192.8,Autumn,False,-37.862384,145.014399,Tablet,Store,please use minimal packaging,NaN
HORD000089,SRC-030-H-000089,CUS00204,2018-04-22 11:32:00,Mobile,Bank Transfer,AUD,Thompson,Completed,1549.37,11.38,B2SAVE-18,20.0,140.85,1250.88,Autumn,False,-37.855976,144.914063,Mobile,Paid Search,please use minimal packaging,B2SAVE-18
HORD000090,SRC-030-H-000090,CUS00179,2018-10-01 16:45:00,Mobile,Card,AUD,Thompson,Completed,4951.16,10.45,NaN,0.0,450.11,4961.61,Spring,False,-37.837969,144.91411,Desktop,Social,please leave at reception,NaN
HORD000091,SRC-030-H-000091,CUS00270,2018-07-18 08:33:00,Store,Gift Card,AUD,Bakers,Completed,1818.79,15.33,NaN,0.0,165.34,1834.12,Winter,False,-37.847172,145.048854,Desktop,Paid Search,gift purchase for a family member,NaN
HORD000092,SRC-030-H-000092,CUS00294,2018-09-14 16:01:00,Store,Bank Transfer,AUD,Thompson,Completed,1342.43,12.3,NaN,0.0,122.04,1354.73,Spring,False,-37.77554,144.888915,Mobile,Organic,please use minimal packaging,NaN
HORD000093,SRC-030-H-000093,CUS00202,2018-11-15 10:28:00,Store,Gift Card,AUD,Bakers,Completed,7965.46,13.54,NaN,10.0,724.13,7182.45,Spring,False,-37.879227,145.029633,Tablet,Organic,please use minimal packaging,NaN
HORD000094,SRC-030-H-000094,CUS00375,2018-03-27 16:59:00,Mobile,Bank Transfer,AUD,Thompson,Completed,1739.93,8.07,B2SAVE-23,15.0,158.18,1487.01,Autumn,False,-37.823376,144.939317,Mobile,Paid Search,call before delivery,B2SAVE-23
HORD000095,SRC-030-H-000095,CUS00364,2018-08-22 08:35:00,Store,Bank Transfer,AUD,Bakers,Completed,977.92,17.39,NaN,0.0,88.9,995.31,Winter,False,-37.74798,145.055558,Mobile,Referral,please use minimal packaging,NaN
HORD000096,SRC-030-H-000096,CUS00139,2018-04-29 18:59:00,Mobile,Gift Card,AUD,Bakers,Completed,7038.54,12.74,NaN,0.0,639.87,7051.28,Autumn,False,-37.762507,145.053468,Tablet,Organic,gift purchase for a family member,NaN
HORD000097,SRC-030-H-000097,CUS00010,2018-08-08 20:13:00,Mobile,PayPal,AUD,Thompson,Completed,11621.26,29.85,NaN,10.0,1056.48,10488.98,Winter,True,-37.880038,144.913336,Mobile,Store,please use minimal packaging,NaN
HORD000098,SRC-030-H-000098,CUS00406,2018-10-10 12:54:00,Web,Gift Card,AUD,Thompson,Completed,1825.92,11.75,NaN,0.0,165.99,1837.67,Spring,False,-37.859049,144.916175,Mobile,Organic,please leave at reception,NaN
HORD000099,SRC-030-H-000099,CUS00320,2018-06-12 20:42:00,Mobile,PayPal,AUD,Bakers,Completed,3834.95,15.97,B2SAVE-28,15.0,348.63,3275.68,Winter,False,-37.750398,144.968874,Mobile,Social,call before delivery,B2SAVE-28
HORD000100,SRC-030-H-000100,CUS00457,2018-04-23 17:45:00,Mobile,Gift Card,AUD,Bakers,Completed,1286.48,12.72,B2SAVE-29,15.0,116.95,1106.23,Autumn,False,-37.746891,144.97097,Mobile,Store,please use minimal packaging,B2SAVE-29
HORD000101,SRC-030-H-000101,CUS00400,2018-11-19 15:39:00,Web,Bank Transfer,AUD,Bakers,Completed,5381.43,12.88,NaN,10.0,489.22,4856.17,Spring,False,-37.870565,145.029156,Mobile,Paid Search,no special instruction,NaN
HORD000102,SRC-030-H-000102,CUS00142,2018-12-11 21:03:00,Mobile,PayPal,AUD,Bakers,Completed,9478.53,10.13,NaN,0.0,861.68,9488.66,Summer,False,-37.814068,145.029532,Mobile,Store,please use minimal packaging,NaN
HORD000103,SRC-030-H-000103,CUS00067,2018-01-16 08:23:00,Mobile,Card,AUD,Thompson,Completed,2858.96,12.99,NaN,0.0,259.91,2871.95,Summer,False,-37.866466,144.902901,Tablet,Referral,please leave at reception,NaN
HORD000104,SRC-030-H-000104,CUS00008,2018-08-09 13:15:00,Web,Gift Card,AUD,Bakers,Completed,4111.26,16.55,NaN,0.0,373.75,4127.81,Winter,False,-37.740873,144.9899,Tablet,Organic,no special instruction,NaN
HORD000105,SRC-030-H-000105,CUS00453,2018-04-20 08:03:00,Web,PayPal,AUD,Thompson,Completed,882.2,14.78,NaN,0.0,80.2,896.98,Autumn,False,-37.74047,144.879827,Tablet,Organic,no special instruction,NaN
HORD000106,SRC-030-H-000106,CUS00073,2018-11-08 13:49:00,Store,Gift Card,AUD,Bakers,Completed,7530.1,21.11,NaN,0.0,684.55,7551.21,Spring,True,-37.836219,145.030554,Mobile,Referral,call before delivery,NaN
HORD000107,SRC-030-H-000107,CUS00144,2018-10-02 16:19:00,Store,Card,AUD,Nickolson,Completed,3712.97,11.02,B2SAVE-36,15.0,337.54,3167.04,Spring,False,-37.861545,144.961977,Mobile,Social,please use minimal packaging,B2SAVE-36
HORD000108,SRC-030-H-000108,CUS00138,2018-09-17 20:27:00,Mobile,Gift Card,AUD,Thompson,Completed,2611.86,10.24,NaN,0.0,237.44,2622.1,Spring,False,-37.780033,144.936116,Mobile,Organic,call before delivery,NaN
HORD000109,SRC-030-H-000109,CUS00347,2018-04-06 18:08:00,Store,Gift Card,AUD,Bakers,Completed,2654.08,23.65,NaN,10.0,241.28,2412.32,Autumn,True,-37.774425,145.06437,Mobile,Social,please leave at reception,NaN
HORD000110,SRC-030-H-000110,CUS00217,2018-04-17 13:45:00,Mobile,PayPal,AUD,Bakers,Completed,3811.1,11.62,B2SAVE-39,15.0,346.46,3251.06,Autumn,False,-37.757538,144.983749,Mobile,Paid Search,please leave at reception,B2SAVE-39
